"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjUih_7XHL4PEZPWZ4byTbZE4hyM-W-V9v7VewDNhKodlga3p7TU8g=w45-h45-p-rp-mo-ba4-br100","Maria Elena Rosero","Local Guide · 19 opiniones · 75 fotos","Hace 3 años","Pésimo  servicio y atención al usuario. Demasiado tiempo de espera para  un solo trámite","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjUsQVTSn7_EK0x80CqzaMSlykZYf2XR2k7VmnyOQv_EIYVgwmg=w45-h45-p-rp-mo-br100","jorge paez","1 opinión","Hace 6 años","porque no ponen un numero de telefono para mayor información","","","","Compartir","Me gusta","5"
"https://lh3.googleusercontent.com/a-/ALV-UjU9y3fhsioSAHn0CG6MSzxRwK85Y7HFm62N0fMM1z7uDadjiVd10A=w45-h45-p-rp-mo-ba6-br100","Julio Rodriguez Lopez","Local Guide · 647 opiniones · 3,044 fotos","Hace 5 años","Buena atención con cita previa.","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjUY6PBrlbmyBqiaRgYj2bb3Esqk_RFzLcDV1snXtCaxq_QBFmQ-=w45-h45-p-rp-mo-ba4-br100","Hugo Vique","Local Guide · 130 opiniones · 56 fotos","Hace 5 años","Atención con calidad y calidez","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVkIA_USsSYqIk00D-ezH3jWr4FHe0ZfGMZvwO9_F3spt3kNXOU2A=w45-h45-p-rp-mo-ba5-br100","Luis Pacheco Rentería","Local Guide · 240 opiniones · 137 fotos","Hace 7 años","subcentro","","","","Compartir","Me gusta","3"
"https://lh3.googleusercontent.com/a/ACg8ocKC0fR_aEcMmBfSDPiqXmegp7E2iQHydY_x90f4iVGruihsNQ=w45-h45-p-rp-mo-br100","HOMERO SALAZAR","1 opinión","Hace un año","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVTN13wLL1rBNscv-YwHCWwM-te-udx0t2RdedBGOsj4pw36TetQA=w45-h45-p-rp-mo-ba4-br100","andres guaman","Local Guide · 4 opiniones · 238 fotos","Hace un año","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXeXJ2UvPtm-_ONVGI1HycTWX6b5pf1Rrdhe3twIwXhoymBU-J3Ew=w45-h45-p-rp-mo-br100","Mariana Largacha","6 opiniones","Hace 2 años","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ5KyCISJcjnrLs24wBGm2tvW5JPZTVDITZ7XFNF8Yr6PUIO2zy=w45-h45-p-rp-mo-br100","Cristian Hinojoza","","Hace 3 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUTQEaGcELPJe7sqgGB7z4FduZjllbYTezDoVQdnyBMsGXALIk=w45-h45-p-rp-mo-ba3-br100","miguel aulestia","Local Guide · 12 opiniones · 26 fotos","Hace 3 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXjNRD84IlYr7Us-bkTeaijLCdleZy20yIR6VuxtqaUUK4Fx1I=w45-h45-p-rp-mo-ba4-br100","JOSE ORELLANA","Local Guide · 64 opiniones · 76 fotos","Hace 3 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXKZ3SvJKK7BTK42JalbghICgZQ8alJdovbfZSc7dx9yO9Ga6Ep=w45-h45-p-rp-mo-br100","Jacinto Arteaga","16 opiniones · 1 foto","Hace 3 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV5CIcLdXZg4aWHYocnPZtRjwvRB4uMReNNGTiu4wbB_LYMNXYolA=w45-h45-p-rp-mo-br100","Oreana Batrouni","1 opinión","Hace 5 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXqV8t92xjc3qOdb2O7ciRZP34J3B7h4ZMxAoAzAAYXfoxnuCGcnQ=w45-h45-p-rp-mo-ba4-br100","Daniel Tapia","Local Guide · 11 opiniones · 442 fotos","Hace 5 años","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJc-JGUkqYMw4nfypB9Vup45jQmCFZK01D57PgQ8hZI0Ky7Bw=w45-h45-p-rp-mo-br100","Saul Maldonado","","Hace 6 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV8-rybaZynMrbQSyZamvI1VLz5SPGAnAvfPRd5vAGXhlK4tuJv=w45-h45-p-rp-mo-br100","Jhony Jhon","","Hace 6 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUdahtm6VonAujETB4ekvn1QOVX3y_JSU_AEEnVlRgjc0yCsumx=w45-h45-p-rp-mo-br100","mykel leonel","","Hace 6 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU3p9lIpwehSsqpURzjoQhqoisLfp0DEdwFoVFBdRIZBq91yD4=w45-h45-p-rp-mo-br100","Iván Sojos","","Hace 6 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX1rJbYRqDaY8sd-ACtqVF9JMB-UMa3WFSzHZQOCuZsHP4kuw4=w45-h45-p-rp-mo-br100","Andrés Patricio Chiriboga Naranjo","","Hace 6 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXYE3GqSeAXWlzWglM-YM7yW0ppRvGm40G0TO7NasTEeTI2Xig=w45-h45-p-rp-mo-ba5-br100","Christian Andrade","Local Guide · 69 opiniones · 247 fotos","Hace 6 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUg9NXxZhShp2zyGLfGZwDMsTDNxKP3GSqrPSnL2pW9WPR5hxQAQQ=w45-h45-p-rp-mo-br100","Marce Sarango","2 opiniones · 5 fotos","Hace 6 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU9lZJqlIXCQgeZdnFc215dBIGCa6tBgAd8N-Gq0NfnkDhsaD4t=w45-h45-p-rp-mo-br100","Delia Atupaña (Delsus)","","Hace 7 años","","","","","","",""
