"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a/ACg8ocL3D0smmElAKoei2ilBVmOfi_6CruzCF6DUVBA2NtzL_06rip4b=w45-h45-p-rp-mo-ba6-br100","Ortiz Javier","Local Guide · 728 opiniones · 73 fotos","Hace 2 años","Muy bien","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXodXiTP64INZdOy8BHHG6tcD2xyC2WZQMXnFESUuZZXPxw1r9-=w45-h45-p-rp-mo-ba3-br100","Patricio Aguilar","Local Guide · 10 opiniones · 15 fotos","Hace un año","Atención oportuna pero lenta","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXZPkKBnmSjJR5Uhw84SybrGewwX-MlTFf9Tv3K3DJI7mg08Bc84g=w45-h45-p-rp-mo-ba5-br100","Lourdes Pozo","Local Guide · 173 opiniones · 208 fotos","Hace 2 años","Hospital de atención a afiliados del iess en el sur de Quito","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWUMwkZj3R4lpTSzo2O1y-H6vaPzRZ2a67xz20HKozXqqXAXpyV=w45-h45-p-rp-mo-ba4-br100","Veronica Tipan","Local Guide · 136 opiniones · 18 fotos","Hace 2 años","Centro de atención médica del IESS","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW5ZIIML3f2ZhlKXLnPkMC5bB7W0B9q2aXlq_cfE37AQ6v-bQqq=w45-h45-p-rp-mo-ba5-br100","m7 fairy","Local Guide · 156 opiniones · 8 fotos","Hace 2 años","Mucha gente!!!","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW1EzFrx8CZhGxNkn5tj2HOsIsDfaJsq16FBbCuT_hfHowW2w4Spw=w45-h45-p-rp-mo-ba6-br100","Luis Alberto Reyes","Local Guide · 199 opiniones · 5,062 fotos","Hace un año","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUGiyS3MndEaDn-1BAKP-mf37kxCIaCGJtfAfcQSdl4dQl2VoAJ=w45-h45-p-rp-mo-br100","Evelyn Villenas","12 opiniones","Hace 2 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVlCmnyXn5qCS4MPLKNPyHJ1DUvtFBE824phZn4wrDC5AihaGA1tw=w45-h45-p-rp-mo-ba6-br100","E.FULLPOWER ELECTRONICA","Local Guide · 108 opiniones · 5,142 fotos","Hace 3 años","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocItRM65lYqgLCWfwrU-me2CXL1p0pUdURev1O_RneoqGv-QlA=w45-h45-p-rp-mo-br100","Sofia Arza","1 opinión","Hace 3 años","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXqqZ4KhTlNxlWjKrMPU2vmdqWVcD_sfwar1E3gWXpQ0E7sS2ygug=w45-h45-p-rp-mo-br100","John Gales","4 opiniones","Hace 5 años","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLQFU1-_6xLAsP4v2ZS7127GzDl068KtGtHAPMpsLb2kx9apA=w45-h45-p-rp-mo-br100","Juan Marin","35 opiniones · 3 fotos","Hace 5 años","","","","","","",""
